Countries,Sources,Links,Languages,Comments
Bangladesh,All Africa Niger,http://allafrica.com/niger/,Engllish,
Benin,Le Matinal,http://quotidien-lematinal.info/,French,
Benin,ActuBenin,http://www.actubenin.com/,French,
Benin,A Cotonou,http://news.acotonou.com/,French,
Bolivia,Bolivia en tu manos,http://www.boliviaentusmanos.com/noticias/,Spanish,
Bolivia,Pagina Siete,http://www.paginasiete.bo/,Spanish,
Bolivia,Hoy Bolivia,http://hoybolivia.com/,Spanish,
Bolivia,La Razon digital,http://www.la-razon.com/,Spanish,
Bosnia,FENA,http://www.fena.ba/category/32,English,
Bosnia,Sarajevo Times,http://www.sarajevotimes.com/,English,
Bosnia,ONASA,http://www.onasa.com.ba/Default.aspx,English,
Bosnia,The Guardian Bosnia,https://www.theguardian.com/world/bosnia-and-herzegovina,English,
Bosnia,The Independent Bosnia,http://www.independent.co.uk/topic/BosniaAndHerzegovina,English,
Botswana,The Monitor,http://www.mmegi.bw/,English,
Botswana,Sunday Standard,http://www.sundaystandard.info/,English,
Botswana,The Voice,http://thevoicebw.com/,English,
Botswana,Daily News,http://www.dailynews.gov.bw/,English,
Brazil,Folha de Sao Paulo,http://www.folha.uol.com.br/,Portuguese,
Brazil,El Pais Brasil,http://brasil.elpais.com/seccion/politica,Portuguese,
Brazil,Globo,http://www.globo.com/,Portuguese,
Brazil,Carta Capital,http://www.cartacapital.com.br/,Portuguese,
Brazil,Isto e,http://istoe.com.br/,Portuguese,
Brazil,The Rio times,http://riotimesonline.com/brazil-news/tag/brazil-news/,English,I never use this
Burkina Faso,a Ouaga,http://news.aouaga.com/,French,
Burkina Faso,le Faso.net,http://lefaso.net/,French,
Burkina Faso,Sidwaya,http://www.sidwaya.bf/,French,
Burkina Faso,L'Observateur Paalga,http://www.lobservateur.bf/,French,
Burkina Faso,Le Pays,http://lepays.bf/,French,
Burundi,IWACU,http://www.iwacu-burundi.org/ ,English/French,
Burundi,All Africa News,http://allafrica.com/burundi/,English,
Cameroon,Camer,http://camer.be/,French,
Cameroon,Cameroon-Info,http://www.cameroon-info.net/,French,
Cameroon,IOM DTM,http://www.globaldtm.info/cameroon/,English,
Cape Verde,All Africa Niger,http://allafrica.com/niger/,English,
CAR,Journal de Bangui,http://www.journaldebangui.com/index.php,French,
CAR,Rjdh,http://rjdh.org/,French,
CAR,Radio Ndeke,http://www.radiondekeluka.org/,French,
Chad,JournalduTchad,http://www.journaldutchad.com/,French,
Chad,TchadInfos,http://tchadinfos.com/,French,
Chad,Tchad Actuel,http://www.tchadactuel.com/,French,
Chile,Emol,http://www.emol.com/,Spanish,
Chile,El Pais,http://elpais.com/tag/chile/a,Spanish,
Chile,Santiago Times,http://santiagotimes.cl/,English,
China,The China Post,http://www.chinapost.com.tw/china/,English,
China,South China Morning post,http://www.scmp.com/frontpage/international,English,
China,China.org,http://www.china.org.cn/,English,
China,Xinhuanet,http://www.xinhuanet.com/english/,English,
Colombia,Colombia Reports ,http://colombiareports.com/,English,
Colombia,El Espectador,http://www.elespectador.com/noticias,Spanish,
Colombia,Revista Semana ,http://www.semana.com/,Spanish,
Comoros,Al-Watwan,http://www.alwatwan.net/,French/Arabic,
Comoros,La Gazette des Comores,http://lagazettedescomores.com/,French,
Congo,Journal de Brazza,http://www.journaldebrazza.com/,French,
Congo,Les Echos du Congo Brazzaville,http://lesechos-congobrazza.com/,French,
Congo,Congopage,http://www.congopage.com/,English,
Cook Islands,Cook Island News,http://www.cookislandsnews.com/,English,News
Costa Rica,Nacion,http://www.nacion.com/,English,
Costa Rica,The Tico Times,http://www.ticotimes.net/,English,
Costa Rica,Costa Rican Times,http://www.costaricantimes.com/,English,
Cote d'Ivoire,Notre Voie,http://www.notrevoie.com/ ,French,
Cote d'Ivoire,Le Patriote,http://www.lepatriote.net/ ,French,
Cote d'Ivoire,L'infodrome,http://www.linfodrome.com/ ,French,
Cote d'Ivoire,Le Nouveau Reveil,http://www.lenouveaureveil.com/ ,French,
Cote d'Ivoire,Soirinfo,http://www.soirinfo.com/,French,
Cote d'Ivoire,Agence Ivorienne de Presse,http://aip.ci/,French,
Cuba,Cubanet,https://www.cubanet.org/ultimas-noticias/,Spanish,
Cuba,CiberCuba,https://www.cibercuba.com/noticias,Spanish,
Cuba,Cuba headlines,http://www.cubaheadlines.com/news/local/havana/index.html,English,
Djibouti,Djibnet,http://www.djibnet.com/news/,French,
Djibouti,ADJ,http://www.adi.dj/,French,
Dominican Republic,Dominican Today,http://www.dominicantoday.com/,English,
Dominican Republic,El Nuevo Diario,http://www.elnuevodiario.com.do/app/frontpage.aspx,Spanish,
Dominican Republic,Hoy Digital,http://hoy.com.do/,Spanish,
Dominican Republic,El Dia ,http://eldia.com.do/,Spanish,
Dominican Republic,El Caribe,http://www.elcaribe.com.do/,Spanish,
DPRK,NK News,https://www.nknews.org/,English,DPRK News from outside
DPRK,Al Jazeera DPRK,http://www.aljazeera.com/topics/country/north-korea.html,English,International Media
DRC,Radio Okapi,http://www.radiookapi.net/,French ,
DRC,Le Phare,http://www.lephareonline.net/,French ,
DRC,La Prosperité,http://www.laprosperiteonline.net/,French ,
DRC,Le Congolais,http://www.lecongolais.cd/,English/French,
Ecuador,El Universo,http://www.eluniverso.com/,Spanish,
Ecuador,Ecuador Times,http://www.ecuadortimes.net/,English,
Ecuador,EIN News Ecuador,http://world.einnews.com/country/ecuador,English,
Egypt,Al-Misri al-Yawm,http://www.almasryalyoum.com/,Arabic,
Egypt,Al-Shuruq,http://www.shorouknews.com/,Arabic,
Egypt,Al-Ahram Weekly,http://weekly.ahram.org.eg/,English,
Egypt,Daily News Egypt,http://www.dailynewsegypt.com/category/politics/,English,
Egypt,Egypt Independent,http://www.egyptindependent.com/,English,
Egypt,Mada Masr,http://www.madamasr.com/en/,English/Arabic,
El Salvador,La Prensa Grafica,http://www.laprensagrafica.com/,Spanish,Must read
El Salvador,El Diario de Hoy,http://www.elsalvador.com/,Spanish,Must read 
El Salvador,La Pagina,http://www.lapagina.com.sv/,Spanish,
Eritrea,Capital Eritrea,http://www.capitaleritrea.com/,English,
Eritrea,Erena,http://erena.org/web-links,English,
Ethiopia,Geeska Africa,http://www.geeskaafrika.com/,English,Regional Media
Ethiopia,All Africa Ethiopia,http://allafrica.com/ethiopia,English,
Ethiopia,Al Jazeera Ethiopia,http://www.aljazeera.com/topics/country/ethiopia.html,English,International Media
Ethiopia,Awramba Times,http://www.awrambatimes.com/,English,
Ethiopia,New Business Ethiopia,http://newbusinessethiopia.com/,English,
Ethiopia,The Ethiopian Herald,http://www.ethpress.gov.et/herald/,English,Government
Ethiopia,Addis Zemen,http://www.ethpress.gov.et/addiszemen/,Amharic,Government
Ethiopia,Africa Confidential,http://www.africa-confidential.com/news,English,
Fiji,Radio New Zealand,http://www.radionz.co.nz/ ,English,"Humanitarian, Health and Security News and Analysis"
Fiji,Fiji Sun Online,http://fijisun.com.fj/category/news/,English,
Fiji,Fiji Broadcasting Corporation,http://www.fbc.com.fj/fiji,English,
Fiji,The Fiji Times Online,http://www.fijitimes.com/default.aspx ,English,
French Polynesia,La Depeche de Tahiti,http://www.ladepeche.pf/ ,French,
French Polynesia,Tahiti Pacifique,http://www.tahiti-pacifique.com/ ,French,
Gabon,Gabon Review,http://gabonreview.com/,French,
Gabon,Gabon actu,http://www.gabonactu.com/actualites/,French,
Gabon,Gabon media time,http://www.gabonmediatime.com/,French,
Georgia,Georgia Today,http://georgiatoday.ge/ ,English,
Georgia,The Messenger Online,http://www.messenger.com.ge/ ,English,
Ghana,All Africa Niger,http://allafrica.com/ghana/,English,
Grenada,The New Today Newspaper Grenada,http://thenewtoday.gd/#gsc.tab=0,English,
Grenada,Now Grenada,http://nowgrenada.com/,English,
Guatemala,el periodico,http://elperiodico.com.gt/,Spanish,
Guatemala,prensa libre,http://www.prensalibre.com/,Spanish,
Guatemala,Guatemala Times,http://www.guatemala-times.com/,English,
Guinea,Guinee News,http://guineenews.org/,French,
Guinea,Africa Guinee,http://www.africaguinee.com/,French,
Guinea,Guinee 360,https://www.guinee360.com/,French,
Guinea Bissau,Le Jour Guinee,http://www.lejourguinee.com/index.php?lang=fr,French,
Guinea Bissau,Bissau Digital,http://www.bissaudigital.com/,French,
Guinea Bissau,Guine Bissau,http://www.gbissau.com/,English/Portugese,
Haiti,Haiti Libre,http://www.haitilibre.com/,French,
Haiti,Alter Presse,http://www.alterpresse.org/,French,
Haiti,Haiti Sentinel,http://sentinel.ht/,English,
Haiti,Le Nouvelliste,http://lenouvelliste.com/,French,
Haiti,Radio Metropole Haiti,http://www.metropolehaiti.com/,French,
Haiti,Radio Television Caraibes,http://www.radiotelevisioncaraibes.com/,French,
India,Greater Kashmir ,http://www.greaterkashmir.com,English,
India,Rising Kashmir,http://www.risingkashmir.com/,English,
India,The Hindu,http://www.thehindu.com,English,
India,The Times of India,http://timesofindia.indiatimes.com/,English,
India,Hindustan Times,http://www.hindustantimes.com/,English,
Iran,Al Ghadd,http://english.alghad.com/,English,
Iraq,NRT (independent),http://www.nrttv.com/EN/,English,
Iraq,Rudaw (pro-government),http://rudaw.net/english,English,
Iraq,Shafaq,http://www.shafaaq.com/en,Enlish,
Italy,Il Corriere della Sera,http://www.corriere.it/,Italian,
Italy,La Repubblica,http://www.repubblica.it/,Italian,
Italy,Il Fatto Quotidiano,http://ilfattoquotidiano.it,Italian,
Italy,The Local,http://www.thelocal.it/,English,
Italy,ANSA,http://www.ansa.it/english/index.html,English,
Italy,La Stampa,http://www.lastampa.it/,Italian,
Jamaica,Jamaica Observer,http://www.jamaicaobserver.com/,English,
Jamaica,Jamaica Gleaner,http://jamaica-gleaner.com/,English,
Jamaica,Jamaica Star,http://jamaica-star.com/news,English,
Kazakhstan,The Astana Times,http://astanatimes.com/,English,
Kazakhstan,B News,http://bnews.kz/en,English,
Kenya,Coastweek,http://www.nation.co.ke/,English,
Kenya,Daily Nation,http://www.coastweek.com/,English,
Kenya,Tuko News,https://www.tuko.co.ke/,English,
Kiribati,Kiribati news,http://kiribati.me/2016/11/02/the-news-from-kiribati/,English,
Kiribati,Kiribati government,http://www.met.gov.ki/en/climate/kiribati-drought-update,English,interesting for drought forecast
Kuwait,Al Rai,http://alrai.com/,Arabic,Regional Media
Kuwait,Al Qabas,http://alqabas.com/ ,Arabic,
Kuwait,Al Watan,http://alwatan.kuwait.tt/,Arabic,
Kuwait,Al Aan,http://www.alaan.tv/news,Arabic,Regional Media
Kuwait,Kuwait Times,http://news.kuwaittimes.net/website/ ,English,
Kuwait,Arab Times,http://www.arabtimesonline.com/news/ ,English,
Kyrgyzstan,The Times of Central Asia,http://www.timesca.com/ ,English,
Kyrgyzstan,Super Info,http://www.super.kg/,Kyrgyz,
Kyrgyzstan,Vecherniy Bishkek,http://www.vb.kg/,Russian,
Kyrgyzstan,Kyrgyz Tuusu,http://kyrgyztuusu.kg/,Kyrgyz,
Lebanon,Daily Star,http://www.dailystar.com.lb/News/Lebanon-News.ashx,English,
Lebanon,L'Orient Le Jour,http://www.lorientlejour.com/rubrique/1-liban,,
Lesotho,Sunday Express,http://sundayexpress.co.ls/,English,
Lesotho,Lesotho Times,http://lestimes.com/,English,
Liberia,RFI Afrique,http://www.rfi.fr/afrique,,
Liberia,All Africa Niger,http://allafrica.com/niger/,English,
Libya,Libyan Gazette,https://www.libyangazette.net/,English,
Libya,Libya Observer,http://www.libyaobserver.ly/,English,
Libya,Libyan Express,http://www.libyanexpress.com/,,
Libya,Libya Herald,https://www.libyaherald.com/,English,
Madagascar,Midi Madagasikara,http://www.midi-madagasikara.mg/,French,
Madagascar,Madagascar Tribune ,http://www.madagascar-tribune.com/,French,
Madagascar,L'Express de Madagascar ,http://www.lexpressmada.com/,French,
Madagascar,Madonline,http://www.madonline.com/,French,
Malawi,Malawi 24,https://malawi24.com/ ,English,
Malawi,Nyasa Times ,http://www.nyasatimes.com/ ,English,
Malawi,Maravi Post,http://www.maravipost.com/ ,English,
Malawi,Malawi Voice,http://www.malawivoice.com/ ,English,
Malawi,The Nation,http://mwnation.com/section/news/national-news/,English,
Malawi,The Times,http://www.times.mw/,English,
Mali,MaliActu,http://maliactu.net/,French,
Mali,ORS,http://ors.ocharowca.info/,English,
Mali,Bridges from Bamako wordpress,https://bridgesfrombamako.com/,English,
Mali,Maliweb,http://www.maliweb.net/,French,
Mali,L'Essor,http://www.essor.ml/,French,
Marshall Islands,The Marshall Islands Journal,http://marshallislandsjournal.com/Journal_WP/,English,News
Mauritania,CRIDEM,http://www.cridem.org/index.php?id=8...a,French,
Mauritania,Noor Info,http://www.noorinfo.com/Actu-Mauritanie_r39.html,French,
Mauritania,Mauritanie Web,http://www.mauritanie-web.com/,French,
Mauritius,Info Mauritius,http://www.info-mauritius.com/english/newspaper.html,English,
Mauritius,Government of Mauritius,http://www.govmu.org/English/News/Pages/default.aspx,English,
Mauritius,Mauritius News,http://mauritiusnews.info/index.php,English,
Mauritius,Lexpress,https://www.lexpress.mu/,French,
Mexico,Univision,http://www.univision.com/noticias/mexico,Spanish,
Mexico,El Universal,http://www.eluniversal.com.mx/,Spanish,
Mexico,El Pais Mexico,http://www.eluniversal.com.mx/,Spanish,
Mexico,Mexico News Daily,http://mexiconewsdaily.com/,English,
Mongolia,Ulanbataar Post,http://ubpost.mongolnews.mn/,English,
Mongolia,Montsame,http://en.montsame.mn/,Mongolian,
Mongolia,UB Post,http://theubpost.mn/,English,
Montenegro,Montenegrin News Agency,http://www.mnnews.net/indexeng.php3,English,
Montenegro,Dan,http://www.dan.co.me/,Serbian,
Montenegro,Vijesti,http://www.vijesti.me/,Montenegri,
Morocco,Morocco World News,https://www.moroccoworldnews.com/,English/French,
Morocco,Sahara Press Service,http://www.spsrasd.info/news/,French,
Morocco,Liberation,http://www.libe.ma/,French,
Mozambique,Zitamar,http://zitamar.com/,English,
Mozambique,Club of Mozambique,http://clubofmozambique.com/,English,
Mozambique,Folha de Maputo,http://www.folhademaputo.co.mz/,Portugese,
Mozambique,O Pais,http://opais.sapo.mz/,Portugese,
Mozambique,Noticias,http://www.jornalnoticias.co.mz/,Portugese,
Myanmar,The Mimu,http://www.themimu.info/,English,
Myanmar,Irrawaddy,http://www.irrawaddy.com/,English,
Myanmar,Myanmar Times,http://www.mmtimes.com/,English,
Myanmar,TNI - Myanmar in Focus,https://www.tni.org/en/myanmar-in-focus,English,
Myanmar,Radia Free Asia,http://www.rfa.org/english/news/myanmar,English,
Myanmar,ConflictMap,http://www.conflictmap.org/conflict/myanmar_rebels,English,
Myanmar,Eleven Myanmar,http://www.elevenmyanmar.com/,English,"Short articles, but usually critical"
Myanmar,Mizzima,http://www.mizzima.com/,English,
Myanmar,DVB,http://burmese.dvb.no/,,
Myanmar,Frontier Myanmar,http://frontiermyanmar.net/,English,
Namibia,New Era,http://www.newera.com.na/,English,
Namibia,Namibia Sun,http://www.namibiansun.com/,English,
Namibia,The Namibin,http://www.namibian.com.na/,English,
Namibia,Namibian Press Agency,http://www.nampa.org/,English,
Nepal,Nepali Times,http://nepalitimes.com/,English,
Nepal,Himalayan Times,http://thehimalayantimes.com/,English,
Nepal,Kathmandu Post,http://kathmandupost.ekantipur.com/,English,
Nicaragua,El Nuevo Diario,http://www.elnuevodiario.com.ni/,Spanish,
Nicaragua,Nicaragua Hoy,http://www.nicaraguahoy.info/,Spanish,
Nicaragua,Today Nicaragua,http://todaynicaragua.com/,English,
Niger,Infos Niger,http://www.infos-niger.com/,English/French,
Niger,Le Sahel,http://www.lesahel.org/,French,
Niger,ActuNiger,http://www.actuniger.com/,French,
Nigeria,The Guardian/Nigeria News,http://guardian.ng/category/news/nigeria/,English,privately owned
Nigeria,Punch,http://punchng.com/topics/news/,English,privately owned
Nigeria,Premium Times,http://www.premiumtimesng.com/,English,
Nigeria,Independent,http://independentnig.com/,English,possible to search news per region
Nigeria,This Day/Nigeria News,http://www.thisdaylive.com/index.php/nigeria/,English,economy and business oriented
Nigeria,The Nation,thenationonlineng.com,English,
Nigeria,Nigeria News Agency/Nigeria News,http://www.nan.ng/news/nigeria/page/2/,English,state owned
Oman,Muscat Daily,http://www.muscatdaily.com/Oman,English,
Pakistan,The Sindh Times,http://www.thesindhtimes.com/,,Sindh
Pakistan,Balochistan Times,http://balochistantimes.com/,English/Balochi,Balochistan
Pakistan,Frontier Post,http://www.thefrontierpost.com/,English,Khyber Pakhtunkhwa/FATA
Pakistan,Pamir Times,http://pamirtimes.net/,English/Urdu,Gilgit-Baltistan
Pakistan,The Nation,http://nation.com.pk/,English,
Pakistan,The News,https://www.thenews.com.pk/,English,
Pakistan,DAWN,http://www.dawn.com/,English,News
Pakistan,The Express Tribune,http://tribune.com.pk/,English,
Pakistan,Balochwarna,http://balochwarna.com,English,
Pakistan,Al Hasan Systems,http://www.alhasan.com/ ,English,"Humanitarian, Health and Security News and Analysis"
Palau,Island Times,http://islandtimes.us/,English,
Palestine,BT Selem,http://www.btselem.org/,English,
Palestine,Al Mezan,http://www.mezan.org/en/,English,
Palestine,Hareetz,http://www.haaretz.com/,English,Very biased
Panama,Newsroom Panama,http://www.newsroompanama.com/,English,
Panama,La Prensa,http://www.prensa.com/,Spanish,
Panama,The Panama News,http://www.thepanamanews.com/,English and Spanish,
Papua New Guinea,The National,http://www.thenational.com.pg/,English,
Papua New Guinea,One PNG,http://www.onepng.com/,English,
Papua New Guinea,Post Courier ,http://www.postcourier.com.pg/,English,
Papua New Guinea,PNG Facts,http://www.pngfacts.com/,English,
Paraguay,El Pais Paraguay,http://www.elpais.com.co/elpais/temas/paraguay,Spanish,
Paraguay,La Nacion,http://www.lanacion.com.py/,Spanish,
Paraguay,Paraugay.com,http://www.paraguay.com/,Spanish,
Peru,Peruvian Times,http://www.peruviantimes.com/,English,
Peru,Peru21 ,http://peru21.pe/,Spanish,
Peru,El Comercio ,http://elcomercio.pe/,Spanish,
Philippines,Philippines Daily Inquirer,http://www.inquirer.net/,English,
Philippines,Philippines News Agency,http://www.pna.gov.ph/index.php,English,
Philippines,Philippines Star,http://www.philstar.com/nation,English,
PNG,Radio New Zealand,http://www.radionz.co.nz/ ,English,"Humanitarian, Health and Security News and Analysis"
Russia,Russia Beyond The Headlines,http://rbth.com/,English,International multimedia project about Russia launched by Rossiyskaya Gazeta
Russia,The Moscow Times,https://themoscowtimes.com/,English,
Russia,Novaya Gazeta,https://www.novayagazeta.ru/,Russian,
Rwanda,News of Rwanda,http://www.newsofrwanda.com/,,
Rwanda,The News Times,http://www.newtimes.co.rw/,English,
Saint Lucia,The Voice St. Lucia,http://thevoiceslu.com/,English,
Saint Lucia,St. Lucia Times,https://stluciatimes.com/,English,
Saint Vincent,Searchlight,http://searchlight.vc/index1.htm,English,
Samoa,Samoa Observer,http://www.samoaobserver.ws/ ,English,
Sao Tome,STP Press,http://www.stp-press.st/,Portuguese,
Sao Tome,Tela Non,http://www.telanon.info/,Portuguese,
Sao Tome,Radio Nacional Sao Tome e Principe,http://www.rnstp.st/,Portuguese,
Senegal,Dakar Actu,http://www.dakaractu.com/,French,
Senegal,Le quotidien ,http://www.lequotidien.sn/,French,
Senegal,Seneweb,http://www.seneweb.com/index.php,French,
Serbia,InSerbia,https://inserbia.info/today/,English,
Serbia,B92,http://www.b92.net/eng/,English,News
Seychelles,Seychelles Nation,http://www.nation.sc/,English,
Sierra Leone,Awoko,http://awoko.org/,,
Sierra Leone,Awareness Times,http://news.sl/drwebsite/publish/index.shtml,,
Sierra Leone,All Africa Sierra Leone,http://allafrica.com/sierraleone/,English,
Solomon Islands,Solomon Star,http://www.solomonstarnews.com/,English,
Solomon Islands,Solomon Times,http://www.solomontimes.com/,English,
Somalia,Shabelle News,http://www.shabellenews.com/category/news-in-english/,English,
Somalia,Garowe Online,http://www.garoweonline.com/en,English,
Somalia,Hiiraan Online,http://www.hiiraan.com/,English,
Somalia,Goobjoog News,http://goobjoog.com/english/,English,
Somalia,Somaliland Press,http://www.somalilandpress.com/,English,
Somalia,Somalia Newsroom,https://somalianewsroom.com/,English,
South Africa,IOL,http://www.iol.co.za/,English,
South Africa,Sunday Times,http://www.timeslive.co.za/sundaytimes/,English,
South Africa,Mail & Guardian,http://mg.co.za/,English,
South Sudan,Sudan Tribune ,http://www.sudantribune.com/,English,Very good
South Sudan,South Sudan News Agency,http://www.southsudannewsagency.com/,English,Very good
South Sudan,Radio Tamazuj,https://radiotamazuj.org/,English,Very good
Sri Lanka,Info Lanka,http://www.infolanka.com/news/,English,
Sri Lanka,TamilNet,http://www.tamilnet.com/,English,
Sri Lanka,Sunday Times,http://www.sundaytimes.lk/,English,
Sudan,Radio Dabanga,http://dabangasudan.org/,English,
Sudan,Sudan Tribune ,http://www.sudantribune.com/,English,
Sudan,Nuba Reports,https://nubareports.org/,English,
Swaziland,Times of Swaziland,http://www.observer.org.sz/ ,English,
Swaziland,Swazi Observer, http://www.times.co.sz/ ,English,
Syria,Syrian Observatory for Human Rights,http://www.syriahr.com/en/,English,
Syria,Syrian Arab News Agency,http://sana.sy/en/,English,
Syria,Enab Baladi,http://english.enabbaladi.net/,English (Original Arabic),
Tajikistan,Asia Plus,http://news.tj/en,English,
Tajikistan,Kovar,http://khovar.tj/eng/,English,
Tajikistan,Radio Free Europe Radio Liberty,http://www.rferl.org/,English,
Tajikistan,Times of Central Asia,http://www.timesca.com/,English,
Tanzania,The Citizen,http://www.thecitizen.co.tz/,English,
Tanzania,Daily News,http://www.dailynews.co.tz/ ,English,
Tanzania,The Arusha Times,http://www.arushatimes.co.tz/ ,English,
Tanzania,IPP Media,http://www.ippmedia.com/ ,Swahili,
Tanzania,Habari Leo,http://www.habarileo.co.tz/ ,Swahili,
Thailand,The Bangkok Post,http://www.bangkokpost.com/,English,
Thailand,The Nation,www.nationmultimedia.com/,English,
Thailand,Khaosad,http://www.khaosodenglish.com/,English,
The Gambia,Freedom Newspaper ,http://www.freedomnewspaper.com/,English,
The Gambia,The Point,http://thepoint.gm/,English,
The Gambia,JollofNews,https://jollofnews.com/,English,
Timor-Leste,RTTLEP,http://rttlep.tl/en/,English,
Timor-Leste,Guide Post,http://www.guideposttimor.com/,English,
Timor-Leste,The Dili Week,http://www.thediliweekly.com/en,English,News
Togo,Le Togolais,http://www.letogolais.com/,English,
Trinidad and Tobago,News Day,http://www.newsday.co.tt/,English,News
Tunisia,Tunis Daily News,http://tdailynews.net/,English,
Tunisia,News links,http://www.abyznewslinks.com/tunis.htm,Multiple,
Turkey,Hurriyet Daily News,http://www.hurriyetdailynews.com/local.aspx?PageID=390&NewsCatID=341,English,
Turkey,Rudaw,http://rudaw.net/english/middleeast/turkey/,English,
Turkey,Kurdistan24,http://www.kurdistan24.net/en/,English,
Turkey,Syriahr,http://www.syriahr.com/en/,English,
Turkey,Anadolu Agency,http://aa.com.tr/,English,
Turkmenistan,The State News Agency of Turkmenistan,http://tdh.gov.tm/en/,English,News
Uganda,New Vision Uganda,http://www.newvision.co.ug/,English,
Uganda,Daily Monitor,http://www.monitor.co.ug/,English,
Uganda,Red Pepper,http://www.redpepper.co.ug/,English,
Ukraine,Ukraine Special Monitoring Mission,http://www.osce.org/ukraine-smm/,English,
Ukraine,Ukraine Government Site,http://www.kmu.gov.ua/control/uk/publish/article?art_id=246386665&cat_id=244824289,Ukranian,
Uruguay,MercoPress,http://en.mercopress.com/uruguay,English,SA regional 
Uruguay,El Pais,http://www.elpais.com.uy/,Spanish,El Pais is present in all SA countries. It's somewhat regional but one of the best available
Uruguay,El observador,http://www.elobservador.com.uy/contenidos/nacional.html,Spanish,
Uruguay,Diario de la Republica,http://www.republica.com.uy/home/,Spanish,
Venezuela,Characas Chronicles ,http://www.caracaschronicles.com/,English,
Venezuela,El Universal,http://www.eluniversal.com/,Spanish,
Venezuela,El Periodico Venezolano,http://elperiodicovenezolano.com/,Spanish,
Viet Nam,Vietnam News,http://vietnamnews.vn/,English,
Viet Nam,The Saigon Times,http://english.thesaigontimes.vn/,,
Viet Nam,VietnamNet,http://english.vietnamnet.vn/,English,
Western Sahara,Sahara Press Service,http://www.spsrasd.info/news/en,English,
Western Sahara,RASD TV,http://www.rasd-tv.com/,English,
Western Sahara,El Confidencial Saharaui,http://www.elconfidencialsaharaui.com/,Spanish,
Western Sahara,Sahara Online,http://www.sahara-online.net/Western-Sahara/Home-692.aspx,English,
Western Sahara,Sahara Update,http://www.sahara-update.org/,English,
Yemen,Hisham Al-Omeisy Twitter,https://twitter.com/omeisy?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,English,News and analysis from inside
Yemen,Muftah,http://muftah.org/,English,Analysis
Yemen,Adam Barron Twitter,https://twitter.com/theadambarron?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,English,New and analysis
Zambia,Lusaka Times,https://www.lusakatimes.com/,,
Zambia,Zambia Daily Mail,https://www.daily-mail.co.zm/,,
Zambia,Zambian Eye,http://zambianeye.com/,,
Zimbabwe,Herald ,http://www.herald.co.zw/,,
